;AdaCostClassifier;AsymBoostClassifier;AdaUBoostClassifier;BalancedRandomForestClassifier;BalanceCascadeClassifier;CompatibleAdaBoostClassifier;CompatibleBaggingClassifier;EasyEnsembleClassifier;KmeansSMOTEBoostClassifier;OverBaggingClassifier;OverBoostClassifier;RUSBoostClassifier;SelfPacedEnsembleClassifier;SMOTEBaggingClassifier;SMOTEBoostClassifier;UnderBaggingClassifier;error_rate;overlap;neighborhood
autos;0.001136364;0.590990255;0.536422341;0.548721825;0.51602955;0.594650893;0.860793507;0.61526952;;0.850916367;0.494681071;0.472061338;0.602622335;;;0.697726433;0.8277;0.8560;0.8304
balance;0.01141581;0.854418389;0.803038485;0.731411474;0.782308761;0.881619424;0.814944325;0.726222705;0.838068261;0.824256348;0.73811836;0.460196064;0.796161241;0.821385869;0.824069171;0.784712253;0.7970;0.8019;0.8009
contraceptive;0.191075664;0.558049721;0.54573293;0.53025985;0.525794994;0.552790728;0.526766951;0.536947508;0.551771058;0.532050776;0.540116549;0.480698855;0.537310818;0.52577055;0.538539281;0.530551841;0.5115;0.5100;0.5065
dermatology;0.224528783;0.662522035;0.624402303;0.961122809;0.977559998;0.490181118;0.951355876;0.751070107;0.340697084;0.966242038;0.379066163;0.853008315;0.97202608;0.972050119;0.452550424;0.98032791;0.9524;0.9578;0.9576
ecoli;0.021669037;0.863445762;0.86822057;0.889551188;0.883514221;0.853937051;0.898778955;0.874309333;0.867856253;0.884850995;0.864262228;0.866204482;0.905633294;0.882989732;0.856906181;0.8823191;0.8781;0.8713;0.8843
glass;0.064853647;0.468492261;0.461055957;0.644664493;0.653607089;0.493264979;0.726305366;0.428082491;0.446614701;0.720928317;0.39196315;0.397269565;0.631646794;0.734780966;0.406572988;0.693796332;0.6802;0.6873;0.7426
hayes-roth;0.084246309;0.493233618;0.485004825;0.822580091;0.831995176;0.493233618;0.816114215;0.484267689;0.493233618;0.816903124;0.491141139;0.59829412;0.847430153;0.816114215;0.485004825;0.824381026;0.8241;0.8472;0.8159
lymphography;0.001533448;0.660335178;0.607458221;0.657271784;0.617284482;0.634907201;0.792658625;0.718761103;;0.828431402;0.540177957;0.492378104;0.710958213;;;0.74214595;0.8167;0.8087;0.7885
new-thyroid;0.163579735;0.966681714;0.97119211;0.963410145;0.96737605;0.962091192;0.953206839;0.958279009;0.975910251;0.961687461;0.96699448;0.45243932;0.976720586;0.961851483;0.976256835;0.963224868;0.9223;0.9410;0.9443
pageblocks;0.004587156;0.946329517;0.941419514;0.900151946;0.795611001;0.952917982;0.95904218;0.908912906;;0.946195759;0.893053252;0.904935022;0.889855876;;;0.909002471;0.9324;0.9353;0.9432
penbased;0.278307012;0.653730599;0.622541952;0.953563482;0.940362404;0.646686443;0.954361807;0.474701391;0.616185475;0.947809644;0.62716598;0.660264312;0.955006529;0.950453249;0.618960248;0.947011614;0.8998;0.9068;0.9113
shuttle;;0.973103169;0.997236404;0.879618044;0.90032993;0.957161525;0.996137324;0.457872715;;0.996669136;0.103319987;0.508892318;0.899030089;;;0.957995902;0.9976;0.9971;0.9972
thyroid;0.025361611;0.974278094;0.972251722;0.958886367;0.974644868;0.974962652;0.985089641;0.965550592;;0.983298901;0.973287665;0.020199732;0.98424633;0.983651438;0.973207152;0.961428809;0.9861;0.9842;0.9820
wine;0.850400716;0.955229655;0.960099503;0.994337568;0.971779896;0.955229655;0.960482034;0.960920442;0.955120698;0.954955873;0.932292822;0.971804909;0.966021054;0.960494893;0.954941943;0.966021054;0.9372;0.9489;0.9488
yeast;2.26E-05;0.46248046;0.428363476;0.489698904;0.357426416;0.462689405;0.585285751;0.366692071;;0.592352328;0.479464728;0.165955081;0.492574782;0.592862035;;0.52847542;0.5372;0.5574;0.5552
mean;0.137336994;0.738888028;0.721629354;0.795016665;0.779708323;0.727088258;0.852088226;0.681857306;0.676161933;0.853836565;0.627673702;0.553640102;0.811149612;0.836582232;0.708700905;0.824608066;0.8334;0.8407;0.8406
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
