;AdaCostClassifier;AsymBoostClassifier;AdaUBoostClassifier;BalancedRandomForestClassifier;BalanceCascadeClassifier;CompatibleAdaBoostClassifier;CompatibleBaggingClassifier;EasyEnsembleClassifier;KmeansSMOTEBoostClassifier;OverBaggingClassifier;OverBoostClassifier;RUSBoostClassifier;SelfPacedEnsembleClassifier;SMOTEBaggingClassifier;SMOTEBoostClassifier;UnderBaggingClassifier
autos;0.0011363636363636363;0.5909902551927539;0.5364223412341884;0.5487218253175633;0.516029549951904;0.5946508926923139;0.8607935074650539;0.615269520104079;;0.8509163670477407;0.49468107105707915;0.47206133762732333;0.6026223349907154;;;0.6977264328891588
balance;0.011415809839690436;0.8544183886307698;0.8030384847886487;0.7314114741536992;0.7823087614909123;0.8816194240726173;0.814944325050928;0.7262227049392221;0.8380682607823389;0.824256348445006;0.7381183603053599;0.4601960640674771;0.7961612410634815;0.8213858688726448;0.8240691708329025;0.7847122534772051
contraceptive;0.19107566386605854;0.5580497213808143;0.5457329296692254;0.530259849978703;0.5257949937582258;0.5527907275376508;0.5267669509738381;0.5369475083381028;0.5517710579842704;0.5320507759844744;0.540116549449113;0.4806988547288333;0.5373108175463037;0.5257705497695597;0.5385392810451848;0.5305518405763711
dermatology;0.22452878321474445;0.6625220345427756;0.6244023025292943;0.9611228086923284;0.9775599983882886;0.49018111838876655;0.9513558758651791;0.7510701072208119;0.34069708449697705;0.9662420384464836;0.37906616251634406;0.8530083145807618;0.9720260799015226;0.9720501192545644;0.4525504240539296;0.9803279098470212
ecoli;0.02166903659327354;0.8634457620124998;0.8682205695620915;0.8895511876054559;0.8835142210081941;0.8539370513958322;0.8987789545637089;0.8743093329357455;0.8678562533126144;0.8848509947492507;0.8642622275898566;0.8662044817831552;0.9056332936070305;0.8829897324836863;0.8569061813766226;0.882319100174445
glass;0.06485364667940666;0.4684922605946007;0.46105595652099063;0.6446644932009844;0.6536070893421307;0.49326497919327583;0.7263053659450819;0.4280824912761112;0.4466147009603984;0.7209283168314079;0.39196314957503153;0.39726956510116906;0.6316467942049337;0.734780966189508;0.40657298814541204;0.6937963324195752
hayes-roth;0.08424630924630924;0.4932336182336182;0.48500482492417973;0.8225800912744721;0.8319951761472228;0.4932336182336182;0.8161142148758247;0.48426768870317255;0.4932336182336182;0.8169031239969454;0.49114113875280124;0.598294120409505;0.8474301526933106;0.8161142148758247;0.48500482492417973;0.8243810262116897
lymphography;;0.6603351776710156;0.6074582208390905;0.6572717843527438;0.617284482353464;0.6349072007476606;0.7926586249489503;0.7187611029186318;;0.8284314023470654;0.5401779566520946;0.4923781044578663;0.7109582129570136;;;0.7421459501733335
new-thyroid;0.1635797351641451;0.9666817139914923;0.9711921101907943;0.9634101452279797;0.9673760500954102;0.9620911921759014;0.953206838910232;0.9582790091264668;0.9759102506338496;0.9616874613012992;0.9669944804395547;0.4524393202689686;0.9767205864367577;0.9618514825886341;0.9762568350444828;0.9632248678880596
pageblocks;;0.9463295173407995;0.9414195143303454;0.9001519464352251;0.7956110014235966;0.9529179819929482;0.9590421802592293;0.9089129063591393;;0.9461957591488862;0.8930532516631388;0.9049350219354891;0.8898558755775186;;;0.9090024705986649
penbased;0.27830701242788575;0.6537305985722011;0.6225419522433715;0.9535634821091807;0.940362403845898;0.6466864431521421;0.9543618067596868;0.47470139099202274;0.6161854746932566;0.9478096438129812;0.627165980073183;0.6602643115832995;0.9550065294649959;0.9504532488558134;0.6189602481029435;0.9470116135826154
shuttle;;0.9731031694446827;0.9972364037945075;0.8796180440095024;0.9003299296687072;0.957161525269637;0.9961373244749776;0.4578727148985703;;0.9966691362166967;0.10331998664223567;0.508892318191521;0.899030088948687;;;0.9579959023397385
thyroid;;0.9742780942383635;0.9722517217115597;0.958886367428588;0.974644868490434;0.9749626524510807;0.985089641170616;0.9655505923163143;;0.9832989009588302;0.9732876646996077;0.02019973247045881;0.9842463301495317;;0.9732071520221349;0.9614288088083754
wine;0.850400715993488;0.9552296546933312;0.9600995032485232;0.9943375680580763;0.9717798955212028;0.9552296546933312;0.9604820340091852;0.9609204418527727;0.9551206977339024;0.9549558729274685;0.9322928220720728;0.9718049090981422;0.9660210539728876;0.960494892891171;0.9549419432578805;0.9660210539728876
yeast;2.2627874976868264e-05;0.46248045997225357;0.4283634756596027;0.48969890442720193;0.3574264163888448;0.46268940455335666;0.5852857509033106;0.3666920709567332;;0.5923523281557111;0.47946472799637124;0.16595508051935234;0.4925747817797562;;;0.5284754198861974
